driverId,Win or Lost,counts,per,per100
215,lost,4,1.0,100.0
216,lost,13,1.0,100.0
217,lost,11,1.0,100.0
218,lost,1,1.0,100.0
219,lost,53,0.9636363636363636,96.4
219,win,2,0.03636363636363636,3.6
220,lost,2,1.0,100.0
221,lost,93,0.9789473684210527,97.9
221,win,2,0.021052631578947368,2.1
222,lost,103,0.911504424778761,91.2
222,win,10,0.08849557522123894,8.8
223,lost,133,0.9637681159420289,96.4
223,win,5,0.036231884057971016,3.6
224,lost,135,0.9060402684563759,90.6
224,win,14,0.09395973154362416,9.4
225,lost,7,1.0,100.0
226,lost,1,1.0,100.0
227,lost,2,1.0,100.0
228,lost,1,1.0,100.0
229,lost,29,1.0,100.0
230,lost,78,1.0,100.0
231,lost,83,0.8924731182795699,89.2
231,win,10,0.10752688172043011,10.8
232,lost,84,1.0,100.0
233,lost,81,1.0,100.0
234,lost,3,1.0,100.0
235,lost,112,0.9256198347107438,92.6
235,win,9,0.0743801652892562,7.4
236,lost,5,1.0,100.0
237,lost,20,1.0,100.0
238,lost,112,0.9105691056910569,91.1
238,win,11,0.08943089430894309,8.9
239,lost,42,1.0,100.0
240,lost,6,1.0,100.0
241,lost,5,1.0,100.0
242,lost,3,1.0,100.0
243,lost,61,1.0,100.0
244,lost,3,1.0,100.0
245,lost,6,1.0,100.0
246,lost,15,1.0,100.0
247,lost,5,1.0,100.0
248,lost,1,1.0,100.0
249,lost,2,1.0,100.0
250,lost,72,0.9863013698630136,98.6
250,win,1,0.0136986301369863,1.4
251,lost,20,1.0,100.0
252,lost,42,1.0,100.0
253,lost,6,1.0,100.0
254,lost,7,1.0,100.0
255,lost,31,0.96875,96.9
255,win,1,0.03125,3.1
256,lost,15,1.0,100.0
257,lost,7,1.0,100.0
258,lost,13,1.0,100.0
259,lost,11,1.0,100.0
260,lost,5,1.0,100.0
261,lost,1,1.0,100.0
262,lost,51,1.0,100.0
263,lost,2,1.0,100.0
264,lost,1,1.0,100.0
265,lost,16,1.0,100.0
266,lost,1,1.0,100.0
267,lost,12,1.0,100.0
268,lost,1,1.0,100.0
269,lost,4,1.0,100.0
270,lost,11,1.0,100.0
271,lost,6,1.0,100.0
272,lost,1,1.0,100.0
273,lost,2,1.0,100.0
274,lost,2,1.0,100.0
275,lost,17,1.0,100.0
276,lost,12,1.0,100.0
277,lost,8,1.0,100.0
278,lost,106,1.0,100.0
279,lost,1,1.0,100.0
280,lost,59,1.0,100.0
281,lost,1,1.0,100.0
282,lost,2,1.0,100.0
283,lost,8,1.0,100.0
284,lost,4,1.0,100.0
285,lost,3,1.0,100.0
286,lost,1,1.0,100.0
287,lost,1,1.0,100.0
288,lost,15,1.0,100.0
289,lost,165,0.9217877094972067,92.2
289,win,14,0.0782122905027933,7.8
290,lost,38,1.0,100.0
291,lost,1,1.0,100.0
292,lost,3,1.0,100.0
293,lost,13,1.0,100.0
294,lost,10,1.0,100.0
295,lost,6,1.0,100.0
296,lost,15,1.0,100.0
297,lost,2,1.0,100.0
298,lost,9,1.0,100.0
299,lost,2,1.0,100.0
300,lost,2,1.0,100.0
301,lost,1,1.0,100.0
302,lost,2,1.0,100.0
303,lost,1,1.0,100.0
304,lost,103,0.9196428571428571,92.0
304,win,9,0.08035714285714286,8.0
305,lost,51,1.0,100.0
306,lost,86,0.9885057471264368,98.9
306,win,1,0.011494252873563218,1.1
307,lost,39,1.0,100.0
308,lost,4,1.0,100.0
309,lost,29,0.9354838709677419,93.5
309,win,2,0.06451612903225806,6.5
310,lost,2,1.0,100.0
311,lost,4,1.0,100.0
312,lost,13,1.0,100.0
313,lost,13,1.0,100.0
314,lost,36,1.0,100.0
315,lost,2,1.0,100.0
316,lost,6,1.0,100.0
317,lost,23,1.0,100.0
318,lost,1,1.0,100.0
319,lost,3,1.0,100.0
320,lost,29,0.9666666666666667,96.7
320,win,1,0.03333333333333333,3.3
321,lost,14,1.0,100.0
322,lost,7,1.0,100.0
323,lost,1,1.0,100.0
324,lost,3,1.0,100.0
325,lost,1,1.0,100.0
326,lost,2,1.0,100.0
327,lost,46,0.9787234042553191,97.9
327,win,1,0.02127659574468085,2.1
328,lost,73,0.73,73.0
328,win,27,0.27,27.0
329,lost,29,1.0,100.0
330,lost,17,1.0,100.0
331,lost,1,1.0,100.0
332,lost,12,1.0,100.0
333,lost,36,1.0,100.0
334,lost,4,1.0,100.0
335,lost,2,1.0,100.0
336,lost,1,1.0,100.0
337,lost,9,1.0,100.0
338,lost,11,1.0,100.0
339,lost,9,1.0,100.0
340,lost,10,1.0,100.0
341,lost,106,0.9464285714285714,94.6
341,win,6,0.05357142857142857,5.4
342,lost,6,1.0,100.0
343,lost,3,1.0,100.0
344,lost,2,1.0,100.0
345,lost,52,0.9629629629629629,96.3
345,win,2,0.037037037037037035,3.7
346,lost,98,0.98,98.0
346,win,2,0.02,2.0
347,lost,108,0.9908256880733946,99.1
347,win,1,0.009174311926605505,0.9
348,lost,1,1.0,100.0
349,lost,1,1.0,100.0
350,lost,13,1.0,100.0
351,lost,18,1.0,100.0
352,lost,13,1.0,100.0
353,lost,11,1.0,100.0
354,lost,2,1.0,100.0
355,lost,1,1.0,100.0
356,lost,115,0.8914728682170543,89.1
356,win,14,0.10852713178294573,10.9
357,lost,15,1.0,100.0
358,lost,56,0.9032258064516129,90.3
358,win,6,0.0967741935483871,9.7
359,lost,12,1.0,100.0
360,lost,99,0.9611650485436893,96.1
360,win,4,0.038834951456310676,3.9
361,lost,29,1.0,100.0
362,lost,4,1.0,100.0
363,lost,4,1.0,100.0
364,lost,83,0.9540229885057471,95.4
364,win,4,0.04597701149425287,4.6
365,lost,3,1.0,100.0
366,lost,1,1.0,100.0
367,lost,1,1.0,100.0
368,lost,6,1.0,100.0
369,lost,2,1.0,100.0
370,lost,17,1.0,100.0
371,lost,2,1.0,100.0
372,lost,1,1.0,100.0
373,lost,48,0.6575342465753424,65.8
373,win,25,0.3424657534246575,34.2
374,lost,36,1.0,100.0
375,lost,12,0.9230769230769231,92.3
375,win,1,0.07692307692307693,7.7
376,lost,19,1.0,100.0
377,lost,2,1.0,100.0
378,lost,1,1.0,100.0
379,lost,2,1.0,100.0
380,lost,9,1.0,100.0
381,lost,1,1.0,100.0
382,lost,8,1.0,100.0
383,lost,26,1.0,100.0
384,lost,1,1.0,100.0
385,lost,43,0.9772727272727273,97.7
385,win,1,0.022727272727272728,2.3
386,lost,53,0.9814814814814815,98.1
386,win,1,0.018518518518518517,1.9
387,lost,7,1.0,100.0
388,lost,10,1.0,100.0
389,lost,13,1.0,100.0
390,lost,2,1.0,100.0
391,lost,1,1.0,100.0
392,lost,2,1.0,100.0
393,lost,1,1.0,100.0
394,lost,25,0.9615384615384616,96.2
394,win,1,0.038461538461538464,3.8
395,lost,1,1.0,100.0
396,lost,9,1.0,100.0
397,lost,15,1.0,100.0
398,lost,2,1.0,100.0
399,lost,5,1.0,100.0
400,lost,2,1.0,100.0
401,lost,29,1.0,100.0
402,lost,3,1.0,100.0
403,lost,49,0.9423076923076923,94.2
403,win,3,0.057692307692307696,5.8
404,lost,54,0.9818181818181818,98.2
404,win,1,0.01818181818181818,1.8
405,lost,11,1.0,100.0
406,lost,3,1.0,100.0
407,lost,2,1.0,100.0
408,lost,27,1.0,100.0
409,lost,2,1.0,100.0
410,lost,3,1.0,100.0
411,lost,3,1.0,100.0
412,lost,2,1.0,100.0
413,lost,3,1.0,100.0
414,lost,1,1.0,100.0
415,lost,1,1.0,100.0
416,lost,1,1.0,100.0
417,lost,1,1.0,100.0
418,lost,46,1.0,100.0
419,lost,1,1.0,100.0
420,lost,7,1.0,100.0
421,lost,1,1.0,100.0
422,lost,1,1.0,100.0
423,lost,5,1.0,100.0
424,lost,4,1.0,100.0
425,lost,5,1.0,100.0
426,lost,1,1.0,100.0
427,lost,85,0.9770114942528736,97.7
427,win,2,0.022988505747126436,2.3
428,lost,6,1.0,100.0
429,lost,15,1.0,100.0
430,lost,31,1.0,100.0
431,lost,7,1.0,100.0
432,lost,5,1.0,100.0
433,lost,4,1.0,100.0
434,lost,6,1.0,100.0
435,lost,12,1.0,100.0
436,lost,5,1.0,100.0
437,lost,26,1.0,100.0
438,lost,10,1.0,100.0
439,lost,5,1.0,100.0
440,lost,12,1.0,100.0
441,lost,4,1.0,100.0
442,lost,2,1.0,100.0
443,lost,1,1.0,100.0
444,lost,3,1.0,100.0
445,lost,2,1.0,100.0
446,lost,2,1.0,100.0
447,lost,2,1.0,100.0
448,lost,1,1.0,100.0
449,lost,11,0.9166666666666666,91.7
449,win,1,0.08333333333333333,8.3
450,lost,1,1.0,100.0
451,lost,1,1.0,100.0
452,lost,1,1.0,100.0
453,lost,11,1.0,100.0
454,lost,6,1.0,100.0
455,lost,13,1.0,100.0
456,lost,51,1.0,100.0
457,lost,1,1.0,100.0
458,lost,1,1.0,100.0
459,lost,9,1.0,100.0
460,lost,5,1.0,100.0
461,lost,2,1.0,100.0
462,lost,3,1.0,100.0
463,lost,3,1.0,100.0
464,lost,3,1.0,100.0
465,lost,7,1.0,100.0
466,lost,1,1.0,100.0
467,lost,2,1.0,100.0
468,lost,2,1.0,100.0
469,lost,1,1.0,100.0
470,lost,1,1.0,100.0
471,lost,1,1.0,100.0
472,lost,1,1.0,100.0
473,lost,1,1.0,100.0
474,lost,1,1.0,100.0
475,lost,57,0.7808219178082192,78.1
475,win,16,0.2191780821917808,21.9
476,lost,26,0.9285714285714286,92.9
476,win,2,0.07142857142857142,7.1
477,lost,18,1.0,100.0
478,lost,20,1.0,100.0
479,lost,35,0.8536585365853658,85.4
479,win,6,0.14634146341463414,14.6
480,lost,4,1.0,100.0
481,lost,10,1.0,100.0
482,lost,17,1.0,100.0
483,lost,15,1.0,100.0
484,lost,9,1.0,100.0
485,lost,1,1.0,100.0
486,lost,13,1.0,100.0
487,lost,2,1.0,100.0
488,lost,1,1.0,100.0
489,lost,2,1.0,100.0
490,lost,1,1.0,100.0
491,lost,2,1.0,100.0
492,lost,1,1.0,100.0
493,lost,1,1.0,100.0
494,lost,2,1.0,100.0
495,lost,1,1.0,100.0
496,lost,12,1.0,100.0
497,lost,1,1.0,100.0
498,lost,27,0.9310344827586207,93.1
498,win,2,0.06896551724137931,6.9
499,lost,1,1.0,100.0
500,lost,4,1.0,100.0
501,lost,64,1.0,100.0
502,lost,7,1.0,100.0
503,lost,1,1.0,100.0
504,lost,1,1.0,100.0
505,lost,4,1.0,100.0
506,lost,9,1.0,100.0
507,lost,6,1.0,100.0
508,lost,4,1.0,100.0
509,lost,11,0.9166666666666666,91.7
509,win,1,0.08333333333333333,8.3
510,lost,3,1.0,100.0
511,lost,2,1.0,100.0
512,lost,9,1.0,100.0
513,lost,9,1.0,100.0
514,lost,5,1.0,100.0
515,lost,1,1.0,100.0
516,lost,5,1.0,100.0
517,lost,2,1.0,100.0
518,lost,10,1.0,100.0
519,lost,3,1.0,100.0
520,lost,9,1.0,100.0
521,lost,7,1.0,100.0
522,lost,2,1.0,100.0
523,lost,3,1.0,100.0
524,lost,1,1.0,100.0
525,lost,8,0.8888888888888888,88.9
525,win,1,0.1111111111111111,11.1
526,lost,8,0.8888888888888888,88.9
526,win,1,0.1111111111111111,11.1
527,lost,4,1.0,100.0
528,lost,8,1.0,100.0
529,lost,13,1.0,100.0
530,lost,1,1.0,100.0
531,lost,3,1.0,100.0
532,lost,4,1.0,100.0
533,lost,6,1.0,100.0
534,lost,2,1.0,100.0
535,lost,2,1.0,100.0
536,lost,3,1.0,100.0
537,lost,5,1.0,100.0
538,lost,5,1.0,100.0
539,lost,2,1.0,100.0
540,lost,2,1.0,100.0
541,lost,15,1.0,100.0
542,lost,3,1.0,100.0
543,lost,4,1.0,100.0
544,lost,1,1.0,100.0
545,lost,1,1.0,100.0
546,lost,1,1.0,100.0
547,lost,18,1.0,100.0
548,lost,1,1.0,100.0
549,lost,6,1.0,100.0
550,lost,1,1.0,100.0
551,lost,5,1.0,100.0
552,lost,1,1.0,100.0
553,lost,2,1.0,100.0
554,lost,57,1.0,100.0
555,lost,9,1.0,100.0
556,lost,7,1.0,100.0
557,lost,1,1.0,100.0
558,lost,5,1.0,100.0
559,lost,5,0.8333333333333334,83.3
559,win,1,0.16666666666666666,16.7
560,lost,3,1.0,100.0
